customer_id,vendor_id,service_id,rating
15,37,3,3
55,25,2,1
55,38,2,5
29,34,3,3
79,16,3,5
72,39,3,3
15,34,3,4
43,9,2,2
42,38,2,3
74,33,2,1
26,5,2,3
41,45,3,3
40,4,3,3
62,28,3,1
6,38,3,1
58,22,3,1
98,5,2,3
91,27,3,2
28,2,2,1
45,23,2,4
69,42,2,4
58,16,3,5
86,9,2,3
30,48,2,4
36,35,3,2
97,2,2,4
79,33,2,3
82,14,2,2
90,40,2,5
30,50,3,2
93,46,2,5
86,16,3,4
25,39,3,2
83,11,2,3
5,6,3,3
52,41,3,1
4,18,2,5
85,24,2,4
8,39,2,3
92,42,3,3
10,25,3,4
34,30,3,4
15,14,2,1
90,6,3,5
68,28,2,5
79,48,3,5
75,7,3,3
16,17,2,3
27,25,2,2
79,48,2,5
66,20,2,5
53,6,2,5
90,30,2,3
3,48,3,3
2,42,2,2
90,32,2,1
94,45,3,4
50,21,2,1
16,21,2,4
87,19,2,2
43,3,3,2
13,8,2,1
19,29,3,3
23,11,3,4
9,39,2,3
92,28,2,4
83,32,2,4
42,22,2,3
44,37,3,4
58,47,2,2
80,32,2,1
54,12,3,2
32,9,3,2
30,47,2,3
24,47,2,5
29,3,3,2
28,38,3,3
14,20,2,5
48,41,2,4
80,43,2,1
82,28,3,3
9,40,3,2
35,11,3,2
69,9,2,1
71,49,2,4
92,5,2,3
28,24,3,2
9,38,3,1
20,49,2,3
66,13,3,5
99,16,2,4
75,48,3,3
31,39,3,1
42,49,3,5
71,5,2,2
1,41,3,2
99,30,3,3
92,10,3,1
89,20,3,5
13,49,2,5
26,41,3,1
2,45,3,3
37,43,2,1
61,10,3,5
85,29,3,5
22,26,3,4
37,3,2,2
26,5,2,3
44,13,3,1
39,12,3,5
44,40,3,3
99,10,3,4
38,25,3,1
17,43,3,2
45,46,3,5
45,16,2,1
36,15,2,1
24,19,3,1
65,38,3,1
26,37,2,5
31,16,3,2
86,25,2,1
44,21,3,5
74,31,3,3
59,12,2,5
29,43,2,2
33,41,3,2
81,26,2,2
84,42,3,3
73,21,2,4
52,44,2,2
49,10,2,3
20,32,3,4
47,44,3,5
37,15,3,2
2,29,3,5
13,5,3,4
20,9,2,5
92,46,2,2
26,47,3,5
27,7,2,2
77,44,2,1
18,10,2,5
85,20,3,3
54,40,2,4
2,1,3,4
91,36,2,5
10,47,3,3
88,27,3,1
9,19,2,2
31,49,2,1
18,46,2,4
18,9,3,5
92,14,2,4
85,43,2,3
81,1,3,2
96,31,2,2
80,37,3,1
62,32,2,5
29,49,2,3
15,22,2,1
13,39,2,5
42,45,2,5
12,2,3,5
49,49,2,4
2,16,3,2
9,21,2,2
31,44,3,5
53,32,2,5
65,23,3,3
72,44,2,4
89,17,2,3
14,45,2,4
28,28,3,5
69,48,3,4
52,32,2,3
49,40,2,3
80,6,2,4
94,17,2,4
83,20,2,1
77,23,3,5
52,13,2,5
74,40,2,3
83,5,2,4
38,18,2,5
62,12,3,5
25,17,2,3
98,14,2,1
63,50,2,1
61,26,3,2
47,1,3,5
36,41,3,4
75,34,2,3
20,24,2,2
69,1,3,3
25,28,2,4
4,12,3,4
67,4,2,1
82,7,2,3
97,29,2,5
70,47,3,3
94,8,2,1
5,2,3,4
77,20,2,1
70,34,3,2
66,40,2,3
11,33,2,3
73,44,3,4
87,29,2,4
69,12,2,2
17,12,2,2
46,7,3,2
66,36,3,5
80,14,2,3
46,3,3,2
40,36,2,2
33,14,3,3
79,3,3,2
72,7,2,3
22,9,2,3
30,34,2,5
81,16,3,2
34,4,3,2
16,18,3,1
38,31,2,4
86,41,2,5
3,34,2,5
84,25,3,4
29,15,2,1
78,2,3,1
49,18,3,3
31,14,3,2
77,5,2,4
37,4,2,4
11,25,3,4
72,4,2,4
2,48,2,1
7,20,3,2
71,30,2,3
86,41,2,4
83,19,2,1
29,18,2,2
13,26,2,1
16,36,3,2
12,48,3,3
1,47,2,4
21,34,2,5
16,15,2,3
44,38,3,2
29,14,2,2
47,23,2,3
75,16,2,3
97,38,3,5
88,37,2,3
48,5,2,3
83,7,3,4
50,15,3,5
96,44,2,2
75,7,3,2
47,14,3,5
90,40,3,1
36,3,3,2
94,1,3,5
33,14,3,3
73,39,3,1
60,48,2,3
39,39,3,1
38,15,2,3
15,16,3,1
50,36,2,4
23,2,2,4
98,16,2,1
95,15,2,1
21,42,2,2
28,48,3,3
6,23,3,5
8,46,3,1
92,43,2,2
82,24,2,3
82,28,3,1
39,49,2,3
19,34,2,2
81,12,3,2
53,40,2,1
52,47,3,2
70,38,3,2
69,24,2,4
14,7,2,5
86,23,2,5
95,32,2,5
1,39,2,1
67,32,3,1
57,44,3,2
21,48,2,3
25,44,3,5
72,41,3,2
84,42,2,1
14,9,3,2
63,5,2,2
59,8,2,5
43,25,2,5
63,42,3,5
31,10,3,4
8,28,3,2
36,36,2,4
22,24,3,4
35,43,3,2
74,34,3,1
38,17,2,4
22,25,3,5
72,22,2,3
24,41,2,5
93,45,3,4
88,45,3,4
2,5,3,4
70,40,3,2
31,21,3,3
52,49,2,4
80,23,2,3
59,28,2,5
45,15,2,5
90,42,3,2
77,44,3,5
6,6,3,2
33,1,2,3
55,48,2,1
65,47,3,3
3,19,2,5
50,19,2,2
58,18,3,4
18,10,3,3
10,36,3,1
91,2,2,4
52,4,2,2
49,31,2,1
25,43,2,3
7,48,3,2
72,40,2,1
77,36,2,1
70,4,2,2
9,37,2,2
65,7,2,5
92,19,3,3
17,43,2,5
15,14,2,3
52,34,2,1
27,20,3,3
87,50,3,3
35,25,2,3
98,23,3,3
66,33,2,5
70,27,2,4
96,34,2,2
81,50,3,2
2,3,2,4
4,2,3,1
42,8,3,3
21,22,2,5
21,27,3,5
94,30,3,2
14,23,2,4
32,32,2,1
48,25,3,2
18,9,3,2
27,41,3,4
11,28,3,2
99,25,2,1
64,5,2,5
25,19,2,4
4,50,2,1
90,31,2,4
16,10,3,2
16,38,3,4
83,9,2,5
16,28,2,5
67,44,2,1
55,16,2,3
81,25,2,3
11,38,3,4
1,38,3,5
81,31,2,4
6,26,2,1
97,29,2,3
75,43,2,1
98,12,2,4
86,3,3,3
47,49,3,2
8,39,3,2
75,35,2,4
3,14,3,2
83,14,2,4
66,15,3,1
12,39,3,3
16,39,3,2
53,8,2,4
8,7,2,2
90,39,3,2
27,50,2,4
60,11,2,1
87,26,2,4
78,25,2,3
33,42,3,1
94,33,2,4
62,35,2,2
24,36,3,3
100,22,3,4
39,37,2,3
2,23,2,5
60,33,2,1
61,21,2,3
89,2,2,2
91,25,3,1
46,49,2,5
63,49,2,4
34,21,2,4
40,16,2,4
55,15,3,5
37,17,2,2
5,33,3,1
66,48,3,1
88,18,2,1
77,28,2,2
26,17,2,5
68,12,3,3
80,47,2,5
25,34,2,5
38,17,3,2
95,46,3,4
45,4,3,2
13,36,3,1
16,8,3,3
31,12,3,4
88,28,2,4
72,23,3,5
99,30,3,1
76,20,2,3
65,21,2,4
100,14,2,5
32,48,2,5
100,30,2,1
72,10,3,5
34,1,3,4
21,46,2,3
35,32,3,4
19,17,2,1
76,33,3,4
