text,sentiment
i wish would have gotten one earlier love it and it makes working in my laptop so much easier,positive
overall love this mouse the size weight clicking is all fabulous however ve had two of these now and the middle scroller has randomly fallen in without rough use it wasn dropped literally was not even touching it the second time and heard it fall if you need to use the middle scroller lot do not recommend purchase if you don use that feature then it great mouse ,positive
my son uses school issued chromebook for school work and hates using the touch pad to navigate the mouse so we looked into wireless mouse and found this one had so many good reviews unfortunately the scrolling wheel has already broken and he has only used it month since he only uses it for his school computer it mostly stayed stored safely in the carrying case he was not rough with it and it was stored carefully when not in use am really disappointed because he loved the color and paid for this with his own money earned helping his grandmother over the summer at campground there is an email on the bottom of the mouse that says lifetime replacement but have tried twice now to email them about it and it keeps bouncing back as undeliverable am sure this has been great product for many and we likely got the dud so am not telling anyone not to buy it but am sharing our experience for others to consider ,positive
loved this cute little mouse but it broke after months the wheel broke off from the gear ,negative
should ve spent the money to get quality product this thing stopped working after about week worthless,negative
first one broke in week they sent replacement and returned broken one and it still hasn processed return now new one broke weeks later would not recommend this mouse,negative
i don typically write reviews but keep having this issue with tech products from amazon the mouse stopped working after months of use it charges and sometimes can get short term use out of it but it very glitchy and lags across the screen ,negative
nothing but issues the scroll wheel broke for no reason at all no longer holds charge would not recommend ,negative
excellent for price ,positive
disappointed in this mouse the wheel broke after months ,negative
it works ok nothing spectacular if you re gamer or use the mouse quite bit you have to charge it about once day or it starts lagging and causes things to crash or freeze up due to the lag ,negative
unfortunately this mouse stopped working after month of use can replace the item or get refund ,negative
i had no issues with the mouse but dropped it from not even ft from the ground on accident of course and the spin wheel and the left clicker broke ve ordered another one and hope it lasts longer than this one did ,negative
like design not function frustrating,positive
got two of these with colors that matched out tablets easy to transport and just right feel in my hand so far they work perfectly and at what would consider great price ,positive
i ve actually purchased two of these and both broke in the same way the scroller do not recommend if you need them for any kind of gaming that requires the scroller need to use it for camera angles in game and without it gameplay is awful won be buying third one but if that not gonna be problem for you then these will probably be great they hold charge well and the light show they put on is really cool ,positive
